"nome","votos","porcentagem","cargo","ano","volta","partido"
"Hernán Büchi Buc",2052116,29.4,"",1989,"primeira volta",NA
"Francisco Javier Errázuriz Talavera",1077172,15.43,"",1989,"primeira volta",NA
"Patricio Aylwin Azócar",3850571,55.17,"Presidente",1989,"primeira volta",NA
"Manfred Max Neef",387102,5.55,"",1993,"primeira volta",NA
"Eugenio Pizarro Poblete",327402,4.7,"",1993,"primeira volta",NA
"Eduardo Frei Ruiz-Tagle",4040497,57.98,"Presidente",1993,"primeira volta",NA
"Cristián Reitze Campos",81675,1.17,"",1993,"primeira volta",NA
"Arturo Alessandri Besa",1701324,24.41,"",1993,"primeira volta",NA
"José Piñera Echeñique",430950,6.18,"",1993,"primeira volta",NA
"Arturo Frei Bolívar",26812,0.38,"",1999,"primeira volta",NA
"Sara María Larraín Ruiz-Tagle",31319,0.44,"",1999,"primeira volta",NA
"Gladys Marín Millie",225224,3.19,"",1999,"primeira volta",NA
"Tomas Hirsch Goldschmidt",36235,0.51,"",1999,"primeira volta",NA
"Ricardo Lagos Escobar",3383339,47.96,"Seleccionado Segunda Vuelta",1999,"primeira volta",NA
"Joaquin Lavin Infante",3352199,47.51,"Seleccionado Segunda Vuelta",1999,"primeira volta",NA
"Ricardo Lagos Escobar",3683158,51.31,"Presidente",1999,"segunda volta",NA
"Joaquin Lavin Infante",3495569,48.69,"",1999,"segunda volta",NA
"Sebastián Piñera Echeñique",1763694,25.41,"Seleccionado Segunda Vuelta",2005,"primeira volta",NA
"Michelle Bachelet Jeria",3190691,45.96,"Seleccionado Segunda Vuelta",2005,"primeira volta",NA
"Tomas Hirsch Goldschmidt",375048,5.4,"",2005,"primeira volta",NA
"Joaquín Lavin Infante",1612608,23.23,"",2005,"primeira volta",NA
"Sebastián Piñera Echeñique",3236394,46.5,"",2005,"segunda volta",NA
"Michelle Bachelet Jeria",3723019,53.5,"Presidenta",2005,"segunda volta",NA
"Jorge Arrate Mac-Niven",433195,6.21,"",2009,"primeira volta",NA
"Marco Enríquez-Ominami Gumucio",1405124,20.14,"",2009,"primeira volta",NA
"Sebastián Piñera Echenique",3074164,44.06,"Seleccionado Segunda Vuelta",2009,"primeira volta",NA
"Eduardo Frei Ruiz-Tagle",2065061,29.6,"Seleccionado Segunda Vuelta",2009,"primeira volta",NA
"Sebastián Piñera Echenique",3591182,51.61,"Presidente",2009,"segunda volta",NA
"Eduardo Frei Ruiz-Tagle",3367790,48.39,"",2009,"segunda volta",NA
